,choicelogprob,x0_alpha_neg,x0_exponent,xopt_alpha_neg,xopt_exponent
37,30.85865869975752,0.28874900462499786,0.7815146281625835,0.018868387234516663,0.8789261035072065
23,30.85865869976332,0.05049725780896433,0.33057950572813,0.01886835025257997,0.8789264006309485
3,30.85865869977364,0.3494178272010682,0.39831858777911155,0.018868360133765114,0.8789261894992579
14,30.858658699775948,0.24028785643513606,0.7899498340037968,0.018868369040324642,0.8789263967064612
17,30.8586586997789,0.16524158136461967,0.828695280619563,0.018868388129260352,0.8789262059372347
8,30.858658699793157,0.11992790088196803,0.9929820618504465,0.01886831427958206,0.878926742352905
40,30.85865869982544,0.2901478104975271,0.24687450725876847,0.018868279805491796,0.8789271933048869
38,30.85865869982774,0.15431296168419012,0.7118662311318084,0.018868429922130194,0.878925278735901
10,30.858658699831178,0.2660695573875707,0.9184830076716525,0.018868344003461525,0.8789262144924099
29,30.85865869988457,0.3326370323889629,0.4288541194686354,0.018868279429643753,0.8789269395335344
39,30.858658699891567,0.18485253580602162,0.8269291044348193,0.01886853547041781,0.8789244235749213
16,30.85865869993148,0.16151435691639937,0.1614896968808267,0.018868241748649154,0.8789278791342201
12,30.858658699948627,0.07027330090467143,0.6924473035890847,0.01886848629781068,0.878925364790344
19,30.8586586999525,0.2402283336440001,0.4157195698407614,0.01886849812047297,0.878925216439363
27,30.85865869997005,0.3875146746840787,0.3724783675549632,0.01886822997676803,0.8789274732825647
26,30.85865870002673,0.16036862148486938,0.39869020239221786,0.018868498638879093,0.8789243039197161
11,30.858658700042618,0.10301728684565906,0.6004467036476027,0.01886823520986983,0.8789281411058671
44,30.858658700051475,0.004379102439735316,0.9494332465100285,0.018868605023290075,0.8789235991073783
15,30.858658700068897,0.22503767151535206,0.8251820998940622,0.018868492633649748,0.8789243082862083
34,30.858658700080806,0.003350219195324522,0.05475042918798556,0.01886840885579267,0.8789251437303673
6,30.85865870036454,0.3199398026117601,0.8925930601149924,0.01886835874826718,0.8789272396391696
7,30.858658700404607,0.3075443129842834,0.8933240678611347,0.018868708333260743,0.8789226075327993
35,30.858658700557775,0.1307406752461712,0.2950289673256752,0.018868027564956306,0.8789299734027303
41,30.858658700621802,0.1788563693130056,0.5177588105102793,0.018868759946994145,0.8789219862166956
28,30.85865870087221,0.03265302166519884,0.8868764913243252,0.018868687578540835,0.878923590788609
4,30.858658700985053,0.17275254959745406,0.29432525763039874,0.018868133653370395,0.8789277726102882
30,30.85865870102773,0.05791663692608054,0.3021305486041501,0.01886848322272064,0.8789262448731645
48,30.858658701450697,0.36785019874945163,0.4395109723784143,0.01886870247058742,0.8789213820219393
47,30.858658701800156,0.26137297029035333,0.8164268497405791,0.01886895828653408,0.8789198978006898
45,30.85865870199549,0.28226611067792845,0.44051090175834084,0.018867787442952685,0.8789326964092768
21,30.858658702156898,0.10485933128972516,0.7512495584190341,0.018869000815124777,0.8789195690783825
49,30.858658702252797,0.2652203477391634,0.23653217405154803,0.018868995795517117,0.8789188502345467
1,30.8586587024469,0.10712017928166491,0.27999624444371995,0.018868803109639364,0.8789229246022228
2,30.8586587025859,0.024064856491459133,0.7640307798297481,0.018867948594078227,0.8789323181940749
43,30.858658703198525,0.103212469444374,0.6647804107768399,0.01886767643881402,0.8789344703706354
22,30.858658703435903,0.13532277565076006,0.9266131496416915,0.01886835306952028,0.8789242103689776
42,30.858658703487237,0.16046863313748685,0.29382277671098567,0.018869158888408618,0.8789173856432348
46,30.85865870373097,0.2827951988080308,0.7298164768342716,0.018867588707162222,0.8789349204550819
5,30.85865870403067,0.0686265552272987,0.9574808346480969,0.018867558611215206,0.8789350492423442
33,30.858658704409553,0.37771952472297166,0.24642892237436076,0.018869030399719555,0.8789206245912
13,30.85865870455539,0.05708125020417736,0.994246886770992,0.018869109284923222,0.8789166756144672
36,30.858658705359634,0.19791366288723886,0.3747912821386855,0.01886813198698233,0.8789262211581566
24,30.85865870543732,0.3537727921240276,0.7010739576183445,0.018867556471731252,0.8789365096484377
31,30.85865870592086,0.14898903262050953,0.7896343528783517,0.01886937374399371,0.8789155715582782
32,78.81799694569649,0.3956114299613924,0.0947801566341957,-10.914000080765446,-1.4953453864287056
20,78.81799694569649,0.33982634531729383,0.10251038286264158,-10.913999269518595,-1.4953453748822148
25,78.81799694569656,0.10978400743419786,0.08458814573566342,-10.914000112600462,-1.4953453554363074
0,,,,,
9,,,,,
18,,,,,
